_id,name,age,marks
691891f531534527ca0417cc,Aarav,21,85
691891f631534527ca0417cd,Bhavya,22,90
691891f631534527ca0417ce,Chirag,23,78
691891f631534527ca0417cf,Diya,20,92
691891f631534527ca0417d0,Eshan,22,88
691891f731534527ca0417d1,Fatima,21,81
691891f731534527ca0417d2,Gaurav,23,76
691891f731534527ca0417d3,Harini,20,94
691891f731534527ca0417d4,Ishaan,22,89
691891f731534527ca0417d5,Jiya,21,82
691891f831534527ca0417d6,Kunal,23,75
691891f831534527ca0417d7,Lavanya,20,91
691891f831534527ca0417d8,Mihir,22,87
691891f831534527ca0417d9,Nisha,21,84
691891f831534527ca0417da,Om,23,77
691891f931534527ca0417db,Pooja,20,93
691891f931534527ca0417dc,Rahul,22,86
691891f931534527ca0417dd,Sara,21,80
691891f931534527ca0417de,Tanish,23,79
691891f931534527ca0417df,Vidya,20,95
